1 715 1461 657 726
2 750 2150 720 711
3 782 2419 735 695
4 868 2596 736 719
5 1032 3048 890 698
6 1027 2371 1032 698
7 1095 2724 1055 698
8 1238 2553 1046 696
9 1429 3059 1097 696
10 1461 2551 1158 719
11 1539 2710 1091 701
12 1743 2580 1084 695
13 1699 2153 1078 695
14 1922 3773 1094 697
15 1920 2249 1101 720
16 1856 3329 1071 699
17 2019 2497 1066 698
18 1978 2483 1093 697
19 2254 3335 1273 721
20 2380 3928 1129 698
21 2398 2144 1091 696
22 2376 2623 1066 695
23 2485 2715 1068 693
24 2428 2736 1042 720
25 2505 2324 1035 707
26 2814 2817 1059 696
27 2719 4010 1097 691
28 2678 1929 1106 693
29 2814 3836 1135 697
30 2814 1855 1078 718
